"id","blockNo","val1","val2","val3"
45016,0,"AM",0.5,1
45017,0,"AM",0.5,1
45018,0,"AM",0.5,1
45019,0,"AM",0.5,1
45020,0,"AM",0.5,1
45021,0,"AM",0.5,1
45022,0,"AM",0.5,1
45023,0,"AM",0.5,1
45024,0,"AM",0.5,1
45025,0,"AM",0.5,1
45026,0,"AM",0.5,1
45027,0,"AM",0.5,1
45028,0,"AM",0.5,1
45029,0,"AM",0.5,1
45030,0,"AM",0.5,1
45031,0,"AM",0.5,1
45032,0,"AM",0.5,1
45033,0,"AM",0.5,1
45034,0,"AM",0.5,1
45035,0,"AM",0.5,1
45036,0,"AM",0.5,1
45037,0,"AM",0.5,1
45038,0,"AM",0.5,1
45039,0,"AM",0.5,1
45040,0,"AM",0.5,1
45041,0,"AM",0.5,1
45042,0,"AM",0.5,1
45043,0,"AM",0.5,1
45044,0,"AM",0.5,1
45045,0,"AM",0.5,1
45046,0,"AM",0.5,1
45047,0,"AM",0.5,1
45048,0,"AM",0.5,1
45049,0,"AM",0.5,1
45050,0,"AM",0.5,1
45051,0,"AM",0.5,1
45052,0,"AM",0.5,1
45053,0,"AM",0.5,1
45054,0,"AM",0.5,1
45055,0,"AM",0.5,1
45056,0,"AM",0.5,1
45057,0,"AM",0.5,1
45058,0,"AM",0.5,1
45059,0,"AM",0.5,1
45060,0,"AM",0.5,1
45061,0,"AM",0.5,1
45062,0,"AM",0.5,1
45063,0,"AM",0.5,1
45064,0,"AM",0.5,1
45065,0,"AM",0.5,1
45066,0,"AM",0.5,1
45067,0,"AM",0.5,1
45068,0,"AM",0.5,1
45069,0,"AM",0.5,1
45070,0,"AM",0.5,1
45071,0,"AM",0.5,1
45072,0,"AM",0.5,1
45073,0,"AM",0.5,1
45074,0,"AM",0.5,1
45075,0,"AM",0.5,1
45076,0,"AM",0.5,1
45077,0,"AM",0.5,1
45078,0,"AM",0.5,1
45079,0,"AM",0.5,1
45080,0,"AM",0.5,1
45081,0,"AM",0.5,1
45082,0,"AM",0.5,1
45083,0,"AM",0.5,1
45084,0,"AM",0.5,1
45085,0,"AM",0.5,1
45086,0,"AM",0.5,1
45087,0,"AM",0.5,1
45088,0,"AM",0.5,1
45089,0,"AM",0.5,1
45090,0,"AM",0.5,1
45091,0,"AM",0.5,1
45092,0,"AM",0.5,1
45093,0,"AM",0.5,1
45094,0,"AM",0.5,1
45095,0,"AM",0.5,1
45096,0,"AM",0.5,1
45097,0,"AM",0.5,1
45098,0,"AM",0.5,1
45099,0,"AM",0.5,1
45100,0,"AM",0.5,1
45101,0,"AM",0.5,1
45102,0,"AM",0.5,1
45103,0,"AM",0.5,1
45104,0,"AM",0.5,1
45105,0,"AM",0.5,1
45106,0,"AM",0.5,1
45107,0,"AM",0.5,1
45108,0,"AM",0.5,1
45109,0,"AM",0.5,1
45110,0,"AM",0.5,1
45111,0,"AM",0.5,1
45112,0,"AM",0.5,1
45113,0,"AM",0.5,1
45114,0,"AM",0.5,1
45115,0,"AM",0.5,1
45116,0,"AM",0.5,1
45117,0,"AM",0.5,1
