(id = 30016, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30017, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30018, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30019, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30020, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30021, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30022, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30023, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30024, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30025, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30026, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30027, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30028, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30029, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30030, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30031, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30032, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30033, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30034, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30035, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30036, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30037, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30038, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30039, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30040, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30041, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30042, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30043, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30044, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30045, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30046, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30047, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30048, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30049, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30050, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30051, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30052, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30053, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30054, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30055, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30056, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30057, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30058, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30059, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30060, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30061, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30062, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30063, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30064, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30065, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30066, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30067, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30068, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30069, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
