(id = 16, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 17, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 18, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 19, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 20, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 21, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 22, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 23, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 24, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 25, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 26, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 27, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 28, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 29, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 30, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 31, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 32, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 33, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 34, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 35, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 36, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 37, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 38, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 39, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 40, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 41, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 42, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 43, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 44, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 45, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 46, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 47, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 48, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 49, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
(id = 50, blockNo = 0, val1 = "AM", val2 = 0.5, val3 = 1)
