id	blockNo	val1	val2	val3
Int64	UInt16	String	Float32	UInt8
60016	0	AM	0.5	1
60017	0	AM	0.5	1
60018	0	AM	0.5	1
60019	0	AM	0.5	1
60020	0	AM	0.5	1
60021	0	AM	0.5	1
60022	0	AM	0.5	1
60023	0	AM	0.5	1
60024	0	AM	0.5	1
60025	0	AM	0.5	1
60026	0	AM	0.5	1
60027	0	AM	0.5	1
60028	0	AM	0.5	1
60029	0	AM	0.5	1
60030	0	AM	0.5	1
60031	0	AM	0.5	1
60032	0	AM	0.5	1
60033	0	AM	0.5	1
60034	0	AM	0.5	1
60035	0	AM	0.5	1
60036	0	AM	0.5	1
60037	0	AM	0.5	1
60038	0	AM	0.5	1
60039	0	AM	0.5	1
60040	0	AM	0.5	1
60041	0	AM	0.5	1
60042	0	AM	0.5	1
60043	0	AM	0.5	1
60044	0	AM	0.5	1
60045	0	AM	0.5	1
60046	0	AM	0.5	1
60047	0	AM	0.5	1
60048	0	AM	0.5	1
60049	0	AM	0.5	1
60050	0	AM	0.5	1
60051	0	AM	0.5	1
60052	0	AM	0.5	1
60053	0	AM	0.5	1
60054	0	AM	0.5	1
60055	0	AM	0.5	1
60056	0	AM	0.5	1
60057	0	AM	0.5	1
60058	0	AM	0.5	1
60059	0	AM	0.5	1
60060	0	AM	0.5	1
60061	0	AM	0.5	1
60062	0	AM	0.5	1
60063	0	AM	0.5	1
60064	0	AM	0.5	1
60065	0	AM	0.5	1
60066	0	AM	0.5	1
60067	0	AM	0.5	1
60068	0	AM	0.5	1
60069	0	AM	0.5	1
60070	0	AM	0.5	1
60071	0	AM	0.5	1
60072	0	AM	0.5	1
60073	0	AM	0.5	1
60074	0	AM	0.5	1
60075	0	AM	0.5	1
60076	0	AM	0.5	1
60077	0	AM	0.5	1
60078	0	AM	0.5	1
60079	0	AM	0.5	1
60080	0	AM	0.5	1
60081	0	AM	0.5	1
60082	0	AM	0.5	1
60083	0	AM	0.5	1
60084	0	AM	0.5	1
60085	0	AM	0.5	1
60086	0	AM	0.5	1
60087	0	AM	0.5	1
60088	0	AM	0.5	1
60089	0	AM	0.5	1
60090	0	AM	0.5	1
60091	0	AM	0.5	1
60092	0	AM	0.5	1
60093	0	AM	0.5	1
60094	0	AM	0.5	1
60095	0	AM	0.5	1
60096	0	AM	0.5	1
60097	0	AM	0.5	1
60098	0	AM	0.5	1
60099	0	AM	0.5	1
60100	0	AM	0.5	1
60101	0	AM	0.5	1
60102	0	AM	0.5	1
60103	0	AM	0.5	1
60104	0	AM	0.5	1
60105	0	AM	0.5	1
60106	0	AM	0.5	1
60107	0	AM	0.5	1
60108	0	AM	0.5	1
60109	0	AM	0.5	1
60110	0	AM	0.5	1
60111	0	AM	0.5	1
60112	0	AM	0.5	1
60113	0	AM	0.5	1
60114	0	AM	0.5	1
60115	0	AM	0.5	1
60116	0	AM	0.5	1
60117	0	AM	0.5	1
60118	0	AM	0.5	1
60119	0	AM	0.5	1
60120	0	AM	0.5	1
60121	0	AM	0.5	1
60122	0	AM	0.5	1
60123	0	AM	0.5	1
60124	0	AM	0.5	1
60125	0	AM	0.5	1
60126	0	AM	0.5	1
60127	0	AM	0.5	1
60128	0	AM	0.5	1
60129	0	AM	0.5	1
60130	0	AM	0.5	1
60131	0	AM	0.5	1
60132	0	AM	0.5	1
60133	0	AM	0.5	1
60134	0	AM	0.5	1
60135	0	AM	0.5	1
60136	0	AM	0.5	1
60137	0	AM	0.5	1
60138	0	AM	0.5	1
60139	0	AM	0.5	1
60140	0	AM	0.5	1
60141	0	AM	0.5	1
60142	0	AM	0.5	1
60143	0	AM	0.5	1
60144	0	AM	0.5	1
60145	0	AM	0.5	1
60146	0	AM	0.5	1
60147	0	AM	0.5	1
60148	0	AM	0.5	1
60149	0	AM	0.5	1
60150	0	AM	0.5	1
60151	0	AM	0.5	1
60152	0	AM	0.5	1
60153	0	AM	0.5	1
60154	0	AM	0.5	1
60155	0	AM	0.5	1
60156	0	AM	0.5	1
60157	0	AM	0.5	1
60158	0	AM	0.5	1
60159	0	AM	0.5	1
60160	0	AM	0.5	1
60161	0	AM	0.5	1
60162	0	AM	0.5	1
60163	0	AM	0.5	1
60164	0	AM	0.5	1
60165	0	AM	0.5	1
60166	0	AM	0.5	1
60167	0	AM	0.5	1
60168	0	AM	0.5	1
60169	0	AM	0.5	1
60170	0	AM	0.5	1
60171	0	AM	0.5	1
60172	0	AM	0.5	1
60173	0	AM	0.5	1
60174	0	AM	0.5	1
60175	0	AM	0.5	1
60176	0	AM	0.5	1
60177	0	AM	0.5	1
60178	0	AM	0.5	1
60179	0	AM	0.5	1
60180	0	AM	0.5	1
60181	0	AM	0.5	1
60182	0	AM	0.5	1
60183	0	AM	0.5	1
60184	0	AM	0.5	1
60185	0	AM	0.5	1
60186	0	AM	0.5	1
60187	0	AM	0.5	1
60188	0	AM	0.5	1
60189	0	AM	0.5	1
60190	0	AM	0.5	1
60191	0	AM	0.5	1
60192	0	AM	0.5	1
60193	0	AM	0.5	1
60194	0	AM	0.5	1
60195	0	AM	0.5	1
60196	0	AM	0.5	1
60197	0	AM	0.5	1
60198	0	AM	0.5	1
60199	0	AM	0.5	1
60200	0	AM	0.5	1
60201	0	AM	0.5	1
60202	0	AM	0.5	1
60203	0	AM	0.5	1
60204	0	AM	0.5	1
60205	0	AM	0.5	1
60206	0	AM	0.5	1
60207	0	AM	0.5	1
60208	0	AM	0.5	1
60209	0	AM	0.5	1
60210	0	AM	0.5	1
60211	0	AM	0.5	1
60212	0	AM	0.5	1
60213	0	AM	0.5	1
60214	0	AM	0.5	1
60215	0	AM	0.5	1
60216	0	AM	0.5	1
60217	0	AM	0.5	1
60218	0	AM	0.5	1
60219	0	AM	0.5	1
60220	0	AM	0.5	1
60221	0	AM	0.5	1
60222	0	AM	0.5	1
60223	0	AM	0.5	1
60224	0	AM	0.5	1
60225	0	AM	0.5	1
60226	0	AM	0.5	1
60227	0	AM	0.5	1
60228	0	AM	0.5	1
60229	0	AM	0.5	1
60230	0	AM	0.5	1
60231	0	AM	0.5	1
60232	0	AM	0.5	1
60233	0	AM	0.5	1
60234	0	AM	0.5	1
60235	0	AM	0.5	1
60236	0	AM	0.5	1
60237	0	AM	0.5	1
60238	0	AM	0.5	1
60239	0	AM	0.5	1
60240	0	AM	0.5	1
60241	0	AM	0.5	1
60242	0	AM	0.5	1
60243	0	AM	0.5	1
60244	0	AM	0.5	1
60245	0	AM	0.5	1
60246	0	AM	0.5	1
60247	0	AM	0.5	1
60248	0	AM	0.5	1
60249	0	AM	0.5	1
60250	0	AM	0.5	1
60251	0	AM	0.5	1
60252	0	AM	0.5	1
60253	0	AM	0.5	1
60254	0	AM	0.5	1
60255	0	AM	0.5	1
60256	0	AM	0.5	1
60257	0	AM	0.5	1
60258	0	AM	0.5	1
60259	0	AM	0.5	1
60260	0	AM	0.5	1
60261	0	AM	0.5	1
60262	0	AM	0.5	1
60263	0	AM	0.5	1
60264	0	AM	0.5	1
